Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-11,20:00 (21:00),Super Cup,UEFA Super Cup,Wed,Home,D,1 (6),1 (5),es Villarreal,,,62,,N'Golo Kanté,3-4-3,Sergey Karasev,Match Report,
2021-08-14,15:00 (16:00),Premier League,Matchweek 1,Sat,Home,W,3,0,Crystal Palace,0.7,0.2,62,38965,César Azpilicueta,3-4-3,Jonathan Moss,Match Report,
2021-08-22,16:30 (17:30),Premier League,Matchweek 2,Sun,Away,W,2,0,Arsenal,3.1,0.3,65,58729,César Azpilicueta,3-4-3,Paul Tierney,Match Report,
2021-08-28,17:30 (18:30),Premier League,Matchweek 3,Sat,Away,D,1,1,Liverpool,0.6,2.5,35,54000,César Azpilicueta,3-4-3,Anthony Taylor,Match Report,
2021-09-11,17:30 (18:30),Premier League,Matchweek 4,Sat,Home,W,3,0,Aston Villa,1.3,1.2,57,39969,Marcos Alonso,3-4-3,Stuart Attwell,Match Report,
2021-09-14,20:00 (21:00),Champions Lg,Group stage,Tue,Home,W,1,0,ru Zenit,0.7,0.9,66,39252,César Azpilicueta,3-4-3,Bartosz Frankowski,Match Report,
2021-09-19,16:30 (17:30),Premier League,Matchweek 5,Sun,Away,W,3,0,Tottenham,2.1,0.5,53,60059,César Azpilicueta,3-4-3,Paul Tierney,Match Report,
2021-09-22,19:45 (20:45),EFL Cup,Third round,Wed,Home,D,1 (4),1 (3),Aston Villa,,,68,35892,N'Golo Kanté,4-3-3,Graham Scott,Match Report,Chelsea won on penalty kicks following extra time
2021-09-25,12:30 (13:30),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester City,0.2,1.7,41,40036,César Azpilicueta,3-5-2,Michael Oliver,Match Report,
2021-09-29,21:00,Champions Lg,Group stage,Wed,Away,L,0,1,it Juventus,1.3,0.9,72,19934,César Azpilicueta,3-4-3,Jesús Gil,Match Report,
2021-10-02,15:00 (16:00),Premier League,Matchweek 7,Sat,Home,W,3,1,Southampton,3.3,1.3,62,40109,César Azpilicueta,3-4-3,Martin Atkinson,Match Report,
2021-10-16,17:30 (18:30),Premier League,Matchweek 8,Sat,Away,W,1,0,Brentford,0.3,1.4,55,16940,César Azpilicueta,3-5-2,Anthony Taylor,Match Report,
2021-10-20,20:00 (21:00),Champions Lg,Group stage,Wed,Home,W,4,0,se Malmö,2.6,0.1,72,39095,César Azpilicueta,3-4-3,François Letexier,Match Report,
2021-10-23,12:30 (13:30),Premier League,Matchweek 9,Sat,Home,W,7,0,Norwich City,3.1,0.1,62,40113,Jorginho,3-4-3,Andy Madley,Match Report,
2021-10-26,19:45 (20:45),EFL Cup,Fourth round,Tue,Home,D,1 (4),1 (3),Southampton,,,63,39766,Marcos Alonso,3-4-3,Kevin Friend,Match Report,Chelsea won on penalty kicks following extra time
2021-10-30,15:00 (16:00),Premier League,Matchweek 10,Sat,Away,W,3,0,Newcastle Utd,2.2,0.2,79,52208,Jorginho,3-4-3,Paul Tierney,Match Report,
2021-11-02,18:45 (19:45),Champions Lg,Group stage,Tue,Away,W,1,0,se Malmö,2.5,0.2,72,19551,César Azpilicueta,3-4-3,Felix Brych,Match Report,
2021-11-06,15:00 (17:00),Premier League,Matchweek 11,Sat,Home,D,1,1,Burnley,1.8,0.7,70,39798,Jorginho,3-4-1-2,Andre Marriner,Match Report,
2021-11-20,12:30 (14:30),Premier League,Matchweek 12,Sat,Away,W,3,0,Leicester City,2.0,0.4,61,35497,Jorginho,3-4-3,Paul Tierney,Match Report,
2021-11-23,20:00 (22:00),Champions Lg,Group stage,Tue,Home,W,4,0,it Juventus,3.0,0.7,54,39513,Jorginho,3-4-3,Srđan Jovanović,Match Report,
